Timestamp,Your Academic Stage,Peer pressure,Academic pressure from your home,Study Environment,What coping strategy you use as a student?,"Do you have any bad habits like smoking, drinking on a daily basis?",What would you rate the academic  competition in your student life,Rate your academic stress index 
24/07/2025 22:05:39,undergraduate,4,5,Noisy,Analyze the situation and handle it with intellect,No,3,5
24/07/2025 22:05:52,undergraduate,3,4,Peaceful,Analyze the situation and handle it with intellect,No,3,3
24/07/2025 22:06:39,undergraduate,1,1,Peaceful,"Social support (friends, family)",No,2,4
24/07/2025 22:06:45,undergraduate,3,2,Peaceful,Analyze the situation and handle it with intellect,No,4,3
24/07/2025 22:08:06,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,5
24/07/2025 22:08:13,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:09:21,undergraduate,5,5,disrupted,Emotional breakdown (crying a lot),No,4,4
24/07/2025 22:10:06,undergraduate,3,2,Peaceful,"Social support (friends, family)",No,3,3
24/07/2025 22:11:01,undergraduate,2,2,Peaceful,Analyze the situation and handle it with intellect,No,2,2
24/07/2025 22:11:19,undergraduate,2,2,Peaceful,Analyze the situation and handle it with intellect,No,4,2
24/07/2025 22:12:12,undergraduate,3,2,disrupted,Emotional breakdown (crying a lot),No,3,5
24/07/2025 22:12:24,undergraduate,4,5,Peaceful,Analyze the situation and handle it with intellect,No,3,3
24/07/2025 22:12:27,undergraduate,2,3,Noisy,Emotional breakdown (crying a lot),No,2,2
24/07/2025 22:12:48,undergraduate,2,3,disrupted,Analyze the situation and handle it with intellect,No,4,2
24/07/2025 22:14:16,undergraduate,3,4,disrupted,"Social support (friends, family)",prefer not to say,3,4
24/07/2025 22:15:06,undergraduate,5,5,Noisy,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:15:39,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,5,5
24/07/2025 22:16:10,undergraduate,3,5,disrupted,Analyze the situation and handle it with intellect,No,5,4
24/07/2025 22:16:53,undergraduate,3,3,Peaceful,Emotional breakdown (crying a lot),No,4,3
24/07/2025 22:17:46,undergraduate,3,4,Peaceful,"Social support (friends, family)",No,4,3
24/07/2025 22:18:02,undergraduate,4,3,Peaceful,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:18:44,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,3
24/07/2025 22:18:55,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,3
24/07/2025 22:18:58,undergraduate,5,1,disrupted,Analyze the situation and handle it with intellect,No,5,3
24/07/2025 22:19:06,undergraduate,4,5,disrupted,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:19:22,undergraduate,4,3,Peaceful,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:19:25,undergraduate,4,5,disrupted,Analyze the situation and handle it with intellect,Yes,4,5
24/07/2025 22:19:33,high school,3,4,disrupted,Analyze the situation and handle it with intellect,No,3,4
24/07/2025 22:19:51,undergraduate,5,1,disrupted,"Social support (friends, family)",No,4,5
24/07/2025 22:20:28,undergraduate,4,3,Peaceful,Analyze the situation and handle it with intellect,No,5,4
24/07/2025 22:21:04,undergraduate,5,5,disrupted,Emotional breakdown (crying a lot),Yes,5,5
24/07/2025 22:23:15,undergraduate,3,1,disrupted,Emotional breakdown (crying a lot),No,4,4
24/07/2025 22:24:13,undergraduate,3,2,Peaceful,Emotional breakdown (crying a lot),No,4,3
24/07/2025 22:24:53,undergraduate,1,1,Peaceful,Analyze the situation and handle it with intellect,prefer not to say,1,1
24/07/2025 22:25:17,undergraduate,1,1,Peaceful,"Social support (friends, family)",prefer not to say,4,3
24/07/2025 22:25:27,undergraduate,3,4,Noisy,Analyze the situation and handle it with intellect,No,5,4
24/07/2025 22:25:41,undergraduate,4,5,disrupted,Emotional breakdown (crying a lot),Yes,2,3
24/07/2025 22:28:58,undergraduate,1,4,Peaceful,Analyze the situation and handle it with intellect,No,4,4
24/07/2025 22:29:26,undergraduate,3,4,Peaceful,Analyze the situation and handle it with intellect,No,3,4
24/07/2025 22:30:29,undergraduate,3,2,Peaceful,"Social support (friends, family)",No,3,4
24/07/2025 22:32:22,undergraduate,3,4,disrupted,Analyze the situation and handle it with intellect,No,5,5
24/07/2025 22:32:36,post-graduate,3,5,Peaceful,Analyze the situation and handle it with intellect,No,3,3
24/07/2025 22:32:37,undergraduate,3,5,Peaceful,Analyze the situation and handle it with intellect,No,4,5
24/07/2025 22:33:48,undergraduate,5,4,disrupted,Emotional breakdown (crying a lot),No,5,5
